frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
167,4.580000,2,true,false,0,0,0,0,0,0,0
168,4.600000,2,true,false,0,0,0,0,0,0,0
169,4.620000,2,true,false,0,0,0,0,0,0,0
170,4.640000,2,true,false,0,0,0,0,0,0,0
171,4.660000,2,true,false,0,0,0,0,0,0,0
172,4.680000,2,true,false,0,0,0,0,0,0,0
173,4.700000,2,true,false,0,0,0,0,0,0,0
174,4.720000,2,true,false,0,0,0,0,0,0,0
175,4.740000,2,true,false,0,0,0,0,0,0,0
176,4.760000,2,true,false,0,0,0,0,0,0,0
177,4.780000,2,true,false,0,0,0,0,0,0,0
178,4.800000,2,true,false,0,0,0,0,0,0,0
179,4.820000,2,true,false,0,0,0,0,0,0,0
180,4.840000,2,true,false,0,0,0,0,0,0,0
181,4.860000,2,true,false,0,0,0,0,0,0,0
182,4.880000,2,true,false,0,0,0,0,0,0,0
183,4.900000,2,true,false,0,0,0,0,0,0,0
184,4.920000,2,true,false,0,0,0,0,0,0,0
185,4.940000,2,true,false,0,0,0,0,0,0,0
186,4.960000,2,true,false,0,0,0,0,0,0,0
187,4.980000,2,true,false,0,0,0,0,0,0,0
188,5.000000,2,true,false,0,0,0,0,0,0,0
189,5.020000,2,true,false,0,0,0,0,0,0,0
190,5.040000,2,true,false,0,0,0,0,0,0,0
191,5.060000,2,true,false,0,0,0,0,0,0,0
192,5.080000,2,true,false,0,0,0,0,0,0,0
193,5.100000,2,true,false,0,0,0,0,0,0,0
194,5.120000,2,true,false,0,0,0,0,0,0,0
195,5.140000,2,true,false,0,0,0,0,0,0,0
196,5.160000,2,true,false,0,0,0,0,0,0,0
197,5.180000,2,true,false,0,0,0,0,0,0,0
198,5.200000,2,true,false,0,0,0,0,0,0,0
199,5.220000,2,true,false,0,0,0,0,0,0,0
200,5.240000,2,true,false,0,0,0,0,0,0,0
201,5.260000,2,true,false,0,0,0,0,0,0,0
202,5.280000,2,true,false,0,0,0,0,0,0,0
203,5.300000,2,true,false,0,0,0,0,0,0,0
204,5.320000,2,true,false,0,0,0,0,0,0,0
205,5.340000,2,true,false,0,0,0,0,0,0,0
206,5.360000,2,true,false,0,0,0,0,0,0,0
207,5.380000,2,true,false,0,0,0,0,0,0,0
208,5.400000,2,true,false,0,0,0,0,0,0,0
209,5.460000,2,false,true,-0.000000000,-0.000000000,0.000000089,-0.000000000,-0.000000000,-0.000000000,1.000000000
210,5.480000,2,false,false,-0.000562949,-0.000205571,0.001400332,0.000478165,0.002501474,0.004228518,-0.999987841
211,5.500000,2,false,false,-0.001353952,-0.000551330,0.002072686,0.000075389,0.001578331,0.008329807,-0.999964058
212,5.520000,2,false,false,-0.001612470,-0.000448900,0.002964394,-0.002656606,0.001676097,0.012787733,-0.999913335
213,5.540000,2,false,false,-0.002621435,-0.000654137,0.003430723,-0.003784872,0.004595865,0.017567340,-0.999827981
214,5.560000,2,false,false,-0.004608199,-0.000592598,0.004274453,-0.008042926,0.012279335,0.019462908,-0.999702811
215,5.580000,2,false,false,-0.006044312,-0.001236828,0.005371547,-0.012134450,0.014862121,0.025148030,-0.999499619
216,5.600000,2,false,false,-0.007158288,-0.001298677,0.006588968,-0.013680547,0.011995068,0.033121604,-0.999285698
217,5.620000,2,false,false,-0.007968834,-0.000337976,0.009118805,-0.015445869,0.010217301,0.039531663,-0.999046743
218,5.640000,2,false,false,-0.007465464,-0.000262726,0.010683270,-0.016478371,0.013322826,0.042369690,-0.998877287
219,5.660000,2,false,false,-0.007676775,-0.000690848,0.011750377,-0.019871196,0.020990232,0.044106778,-0.998608649
220,5.680000,2,false,false,-0.008564343,0.000017737,0.014696424,-0.022342904,0.025944719,0.045272738,-0.998387754
221,5.700000,2,false,false,-0.008605689,-0.000740960,0.016587855,-0.020053452,0.028024584,0.047424067,-0.998280287
222,5.720000,2,false,true,-0.005539462,0.000850559,0.017922457,0.019627960,-0.031281974,-0.049657892,0.998083353
223,5.740000,2,false,false,-0.004940256,0.001133092,0.019507896,0.020510005,-0.037056148,-0.051748455,0.997761667
224,5.760000,2,false,false,-0.004689358,0.000754069,0.020552203,0.023838352,-0.047424905,-0.051275924,0.997273028
225,5.780000,2,false,false,-0.005372098,0.000204513,0.022594918,0.026795883,-0.062716171,-0.047770757,0.996527374
226,5.800000,2,false,false,-0.005459494,0.000786642,0.023837138,0.028196082,-0.080565400,-0.045360405,0.995317400
227,5.820000,2,false,false,-0.005560424,-0.000607552,0.023537535,0.027486490,-0.099507160,-0.043775432,0.993693411
228,5.840000,2,false,false,-0.005885858,-0.001271851,0.022291327,0.025634946,-0.118471995,-0.042038918,0.991735876
229,5.860000,2,false,false,-0.006748553,-0.001894769,0.023146149,0.024640409,-0.135979801,-0.040583152,0.989573359
230,5.880000,2,false,false,-0.006253985,-0.003398310,0.019783024,0.026539804,-0.152428776,-0.040121153,0.987143040
231,5.900000,2,false,false,-0.006357242,-0.004194675,0.020499304,0.028853569,-0.166542307,-0.040650085,0.984773457
232,5.920000,2,false,false,-0.007362333,-0.004181625,0.020392567,0.031948008,-0.179170594,-0.041974481,0.982402921
233,5.940000,2,false,false,-0.008711005,-0.003847859,0.020626904,0.030852418,-0.188147038,-0.043889567,0.980674505
234,5.960000,2,false,false,-0.009049453,-0.004597591,0.020310460,0.030259617,-0.193861455,-0.043545816,0.979594707
235,5.980000,2,false,true,-0.011664019,-0.006704213,0.018990137,0.029344862,-0.193355232,-0.044205196,0.979693115
236,6.000000,2,false,false,-0.013757501,-0.005371263,0.022592707,0.030230733,-0.186700389,-0.044687040,0.980934381
237,6.020000,2,false,false,-0.015138157,-0.005845063,0.023173705,0.030421348,-0.177566677,-0.046518233,0.982537866
238,6.040000,2,false,false,-0.016779391,-0.005752288,0.023326220,0.029698711,-0.168912575,-0.046850484,0.984068930
239,6.060000,2,false,false,-0.018136136,-0.006930305,0.023857204,0.027401503,-0.162688479,-0.047618058,0.985146761
240,6.080000,2,false,false,-0.019803355,-0.006366402,0.024532521,0.025094775,-0.158815801,-0.047276478,0.985856354
241,6.100000,2,false,false,-0.021973358,-0.005834102,0.027081018,0.022129105,-0.157308370,-0.047624703,0.986152291
242,6.120000,2,false,false,-0.022899276,-0.007011321,0.025849070,0.019637408,-0.158715278,-0.047608469,0.985980392
243,6.140000,2,false,false,-0.025514485,-0.006614128,0.026717020,0.018038429,-0.161067367,-0.048455540,0.985588193
244,6.160000,2,false,false,-0.027583973,-0.006612442,0.026499227,0.016016098,-0.163976058,-0.049286030,0.985102177
245,6.180000,2,false,false,-0.030502291,-0.006436981,0.027850352,0.012745262,-0.166214287,-0.050823800,0.984696567
246,6.200000,2,false,false,-0.031382654,-0.007001320,0.027558783,0.009814889,-0.168860897,-0.051022895,0.984269440
247,6.220000,2,false,false,-0.034580238,-0.006664342,0.028139241,0.008274768,-0.170586035,-0.051297110,0.983971894
248,6.240000,2,false,true,-0.036239311,-0.005795120,0.026891598,0.007893423,-0.171708778,-0.051212847,0.983784020
249,6.260000,2,false,false,-0.037884071,-0.006869026,0.028786208,0.008522233,-0.172778815,-0.053692527,0.983459234
250,6.280000,2,false,false,-0.039547086,-0.006976415,0.028477276,0.008830364,-0.172400907,-0.056223065,0.983381450
251,6.300000,2,false,false,-0.041173827,-0.007397189,0.029004784,0.010048809,-0.168548569,-0.058304686,0.983916163
252,6.320000,2,false,false,-0.042447254,-0.008102452,0.028102366,0.011830763,-0.160056636,-0.059434980,0.985245883
253,6.340000,2,false,false,-0.043559276,-0.009035607,0.029409520,0.013248119,-0.147390634,-0.060409907,0.987142980
254,6.360000,2,false,false,-0.045113530,-0.008357008,0.032347020,0.013904363,-0.132856727,-0.061950918,0.989099562
255,6.380000,2,false,false,-0.045918263,-0.009783717,0.031149924,0.013128101,-0.119232506,-0.064185716,0.990702569
256,6.400000,2,false,false,-0.046956915,-0.009912118,0.033435695,0.012911014,-0.106759392,-0.066262849,0.991990447
257,6.420000,2,false,false,-0.046852015,-0.012013040,0.032994252,0.010878285,-0.096947193,-0.066589005,0.992999911
258,6.440000,2,false,false,-0.046621449,-0.012551631,0.033999421,0.008343763,-0.089487769,-0.067828856,0.993640542
259,6.460000,2,false,false,-0.046971664,-0.012524219,0.035940643,0.006098095,-0.083519407,-0.070117898,0.994017541
